word,homestuck_prop,unigram_prop,ratio,homestuck_count,unigram_count
deringer,7.1081457e-06,6.8868104e-08,103.214,6,40503
relatio,2.3693819e-06,2.2957735e-08,103.206,2,13502
dueled,3.5540728e-06,3.4489312e-08,103.049,3,20284
fukkin,2.3693819e-06,2.3042751e-08,102.825,2,13552
niaga,2.3693819e-06,2.3061455e-08,102.742,2,13563
callie,5.4495784e-05,5.3199305e-07,102.437,46,312878
honks,4.7387638e-06,4.6328648e-08,102.286,4,27247
shootdown,2.3693819e-06,2.3190679e-08,102.17,2,13639
salamanders,3.3171347e-05,3.2512689e-07,102.026,28,191215
gushers,4.7387638e-05,4.6512283e-07,101.882,40,273550
lltc,2.3693819e-06,2.3284197e-08,101.759,2,13694
confu,2.3693819e-06,2.3326705e-08,101.574,2,13719
ahahaha,1.0662219e-05,1.0505264e-07,101.494,9,61784
slumbering,1.5400982e-05,1.5176046e-07,101.482,13,89254
urself,2.0139746e-05,1.9891546e-07,101.248,17,116987
youd,3.0801965e-05,3.0481316e-07,101.052,26,179268
gt,0.0021383672,2.1243436e-05,100.66,1805,12493779
esteems,3.5540728e-06,3.5308867e-08,100.657,3,20766
gank,4.7387638e-06,4.7129499e-08,100.548,4,27718
laiv,2.3693819e-06,2.3574952e-08,100.504,2,13865
